,actual_home_win,pred_home_win,pred_home_win_proba
33116,1,0,0.48887438324110216
31445,0,0,0.45922716585648016
34543,1,1,0.5178427387908207
27103,1,1,0.6107344231277821
28841,1,0,0.4350431995363317
32026,1,1,0.6577663890981615
33672,0,0,0.4031720014950569
29102,0,1,0.6265838820692228
31500,0,0,0.3173666175419424
32470,0,0,0.34683481908855734
30272,0,0,0.4703626186650911
33031,0,1,0.7765969184877028
27796,0,1,0.5918778733434129
31360,1,1,0.5300621900719186
27161,0,0,0.31640741315650095
32564,1,1,0.6025398002024671
35270,0,0,0.48133088528630535
31301,0,1,0.6453228701589693
31141,1,1,0.6655876696618175
33507,0,0,0.42545875162120533
32840,1,1,0.629526989837927
33645,0,1,0.59424500342922
31068,0,0,0.2967023535331073
33023,1,1,0.8128477108279714
33677,0,1,0.6806276765124621
35007,0,0,0.46065322681118637
28246,0,0,0.3721146134457331
27317,0,1,0.6490913010315063
32513,0,0,0.3023628719911311
27400,0,1,0.5470324538900079
28609,0,0,0.44947786764700104
28549,0,0,0.4007495151824769
31015,1,1,0.7024761376091939
35299,1,1,0.6916354801694982
32610,0,0,0.3454865173875629
28329,0,0,0.42115073476394543
34625,0,0,0.4520993430036235
35350,1,0,0.46120080995615853
32081,0,1,0.6420715101864961
32986,0,0,0.4621503001237942
35042,1,0,0.34975889216466155
30773,0,1,0.6846207057554539
34303,0,1,0.6182652901129506
34250,0,1,0.6288350528554314
29190,1,1,0.563231579980225
31449,1,1,0.5413908273151163
28353,0,0,0.3611854598239069
34437,0,1,0.6602015782380447
27146,1,0,0.44592650755290897
34174,0,0,0.46464104371654164
27531,1,1,0.5703679487868556
29680,1,1,0.5984576520395545
32390,1,1,0.5566439737303566
28343,1,0,0.43452587956067323
27713,1,1,0.7621181810210891
30751,1,0,0.4081254808141914
31147,0,0,0.49816126228490126
30250,1,1,0.6885244523505036
29565,1,1,0.6210871803727355
28824,1,1,0.5789388291336607
33806,1,1,0.6839334757084332
34335,1,1,0.6448706181437283
34049,0,1,0.6276555337679918
31979,1,1,0.6368594984516759
27569,0,1,0.5550026576400273
30345,0,0,0.39996185633445724
30116,1,0,0.4399071474881316
27387,1,1,0.5533679799297853
31192,1,1,0.6383944534107677
29424,1,1,0.6380908484312697
27562,1,1,0.7869969769379773
35057,1,1,0.6734316325251847
30466,0,0,0.4822944079255469
31568,1,0,0.48922447387568346
30980,1,1,0.5861222699010405
33114,0,0,0.4733888199146064
32897,0,0,0.47420230116598716
32701,1,1,0.5896028098809062
28963,0,0,0.411478344141554
29267,0,1,0.552525541643272
33727,1,0,0.30057188072013585
30364,1,0,0.49030560838323434
29794,0,0,0.42952710190197946
32965,0,0,0.39149360801640154
31307,0,0,0.4371339626765801
32890,0,1,0.5941340834651784
28812,1,1,0.594124854338067
32420,0,1,0.6041593736880242
29735,0,1,0.6229080916513786
35227,1,1,0.6870760104263047
31936,1,1,0.638827400774506
27670,0,0,0.4624833666205086
31461,0,1,0.5810710987862097
32203,1,1,0.6084580173670844
32873,0,0,0.44402237817048973
32473,0,1,0.58801856747853
32573,1,1,0.6555055207526089
30167,1,1,0.5948121398211053
29643,1,1,0.6675512565249349
30187,1,1,0.5398692672246577
33597,0,0,0.4491737337277562
28948,0,1,0.6262529745912063
34218,0,0,0.3679847030741875
28886,1,0,0.4734513991421152
31261,1,0,0.40823840131837097
27860,0,0,0.3760024912236778
32731,1,1,0.5176778772019727
32699,0,1,0.5268190062286842
28063,1,0,0.41920124544646403
29164,1,1,0.5918121147847654
28071,1,1,0.5084156751534792
27620,1,1,0.6102499786493821
32138,0,0,0.4833885517936726
30477,0,0,0.4108510725195137
32536,1,1,0.6422361650293995
30050,1,1,0.6256033519574925
27549,1,1,0.6451551359870793
33405,1,0,0.2939679546719469
30585,0,0,0.3627771001440631
28396,0,0,0.31600773465807647
30928,1,1,0.5008573742631985
30834,1,1,0.5901211467800842
29376,1,1,0.7996660316824057
31447,1,1,0.6698900447701702
32813,1,1,0.6549168686525109
28982,0,1,0.5728555079920524
31513,1,0,0.31911667508858627
27114,1,1,0.7620652782162897
33640,0,0,0.4281707029961357
28924,1,1,0.7080070126876405
28174,0,1,0.5979442896661114
34056,0,0,0.476936613041637
34146,0,0,0.4663771268652754
28112,1,1,0.7270898955013958
30220,0,0,0.43993367544280837
31060,1,0,0.4044393502807151
32522,0,1,0.6462980712742091
31623,0,1,0.6685478380430888
32621,1,1,0.5435106269186081
27459,1,0,0.4225444938820391
29677,1,0,0.3918983896417665
27296,1,1,0.6817580640659555
34873,0,0,0.43571487099027595
34278,1,0,0.49918316623507075
35357,1,1,0.5911169495555785
35113,1,1,0.600541654188113
28249,1,0,0.3880921666629096
31067,1,1,0.6961499264607433
30548,1,1,0.6741004634354314
32061,1,1,0.6080779969785024
33266,0,0,0.39408658591147444
32772,0,1,0.629840953699578
31932,0,0,0.494628184643586
30235,1,1,0.6593020644598222
31100,1,0,0.4201289927638821
32184,1,0,0.4786096805318963
29636,0,1,0.6651668317082654
27127,0,0,0.49818500998969784
32527,1,1,0.530562560814628
28006,0,1,0.5927252438444807
28363,1,1,0.5311511950538534
32278,0,1,0.633354531498314
30999,0,1,0.6899224121329928
27398,0,0,0.34362106116728053
34201,1,1,0.5318285780609648
30021,1,1,0.6841232431115837
28672,1,1,0.6168936078667948
32753,1,1,0.5811031167112017
31312,0,0,0.40095597066329447
31538,0,0,0.42101454028170626
33517,0,0,0.4723077756947747
31459,0,1,0.6950251238923322
28684,1,1,0.5795468655495982
34315,1,1,0.5169323973097281
32137,0,0,0.40415985553953254
34429,0,0,0.2867674837759818
32875,1,0,0.3174127428203246
31316,1,0,0.4496039766584359
29772,0,1,0.7380321313604457
31391,1,1,0.6122838646518921
28531,1,0,0.4328741097665387
30126,1,1,0.5186071991605375
30902,0,0,0.48624486963733865
28121,1,1,0.5667783162874482
27772,0,0,0.3345159117351242
30068,1,0,0.47708429011121395
32252,1,1,0.5926309700340949
34301,1,1,0.6059128555729
28388,0,1,0.584532089420708
27604,1,0,0.41513862553833375
28859,1,1,0.5881868376638496
28971,0,1,0.6272332101704248
27762,1,1,0.5612031906595285
27145,1,1,0.7094873788800709
28451,0,1,0.7981309697594928
27445,1,1,0.5030459290599465
33981,1,1,0.5841367362347571
33696,0,1,0.6455424345617335
28068,1,1,0.6122193960724094
34606,0,1,0.6222127718154152
28267,0,1,0.5020831302026848
31770,1,1,0.6769082458643406
29583,1,1,0.6624893830902772
33923,0,1,0.5339333589043754
28661,0,1,0.5045076483802237
28141,1,1,0.6789430077348623
29608,1,1,0.5835433863746181
32196,0,1,0.6494492223995472
34998,1,1,0.7383942329432582
28495,0,0,0.4586216951465731
34971,1,1,0.5747764000672011
30600,1,1,0.6143777177535129
27215,1,1,0.6080284598811759
33658,1,1,0.5322216648531112
31195,0,0,0.40456906366983697
33548,1,1,0.5839179561035778
35132,0,1,0.731304504131564
27235,0,0,0.3111443963673101
32715,1,1,0.5861254180897432
31350,1,1,0.6493256945080497
32640,1,1,0.5154018841010708
28193,1,0,0.3844857753276718
31193,0,1,0.6631018754979475
33475,0,0,0.35865235772349
29549,0,0,0.4715184030027529
32951,0,1,0.5523240105661578
31467,1,1,0.5521887448272813
34345,0,1,0.5095114850178825
32394,0,1,0.6280212313110544
31828,0,1,0.5289934686098383
28873,0,1,0.5083886518371827
32905,0,0,0.4610224598317758
28379,0,0,0.3374196752774518
31837,1,1,0.7070264561194247
27894,0,0,0.48446809527145157
32736,1,1,0.6030255819066864
32702,1,1,0.5974117496433772
33604,1,0,0.41604008677905907
32776,1,1,0.5154789732139377
31460,0,0,0.36219385141258525
27575,1,0,0.4555144534038296
